name,count,label
Toddler,27,toddler
Play,20,play
Product,28,product
Child,46,child
Face,10,face
Cheek,9,cheek
Skin,6,skin
Baby,9,baby
Nose,10,nose
Facial expression,11,facial_expression
Toy,1,toy
Water,5,water
Fun,6,fun
Swimming pool,16,swimming_pool
Leisure,9,leisure
Bathing,18,bathing
Games,5,games
Inflatable,5,inflatable
Sports,2,sports
Pommel horse,3,pommel_horse
Leg,1,leg
Individual sports,1,individual_sports
Kindergarten,2,kindergarten
Leisure centre,12,leisure_centre
Birthday,2,birthday
Eating,5,eating
Academic dress,8,academic_dress
Event,2,event
Mortarboard,6,mortarboard
Graduation,9,graduation
School,1,school
Scholar,2,scholar
Clothing,1,clothing
Classroom,1,classroom
Music,4,music
Class,1,class
Head,6,head
Furniture,1,furniture
Couch,2,couch
Table,1,table
Flooring,5,flooring
Floor,8,floor
Photograph,8,photograph
Hardwood,2,hardwood
Meal,1,meal
Violet,1,violet
Purple,1,purple
Pianist,2,pianist
Cake,3,cake
Birthday cake,1,birthday_cake
Junk food,1,junk_food
Cake decorating,3,cake_decorating
Food,1,food
Alcohol,1,alcohol
Snapshot,1,snapshot
Musical instrument,2,musical_instrument
Buttercream,1,buttercream
Chin,1,chin
Lip,1,lip
Eyebrow,2,eyebrow
Forehead,3,forehead
Bathtub,10,bathtub
Hair,6,hair
Ball,1,ball
Crawling,1,crawling
People,1,people
Black,2,black
Shoulder,1,shoulder
Electronic instrument,1,electronic_instrument
Musical keyboard,1,musical_keyboard
Keyboard,1,keyboard
Piano,1,piano
Medley swimming,3,medley_swimming
Swimming,13,swimming
Barechested,1,barechested
Breaststroke,1,breaststroke
Swimmer,1,swimmer
Recreation,1,recreation
Lawn,1,lawn
Winter,13,winter
Geological phenomenon,7,geological_phenomenon
Tree,2,tree
Freezing,3,freezing
Snow,20,snow
Skiing,5,skiing
Blue,2,blue
Snowboarding,3,snowboarding
Skier,3,skier
Snowboard,2,snowboard
Ski,1,ski
Piste,4,piste
Sky,1,sky
Hill station,1,hill_station
Nature,1,nature
Atmospheric phenomenon,1,atmospheric_phenomenon
Ceiling,1,ceiling
White,1,white
IG,95,ig
FB,9,fb
