name,count,label
Frags,30,frags
New Stuff,30,whats_new
Funnies,20,haha
Bloopers,20,haha
Newcomers,40,whos_new
Product,15,product
Facial expression,6,facial_expression
Skin,5,skin
Cheek,6,cheek
Baby,6,baby
Face,7,face
Hair,6,hair
Forehead,2,forehead
Eyebrow,1,eyebrow
Head,2,head
Nose,5,nose
Toddler,11,toddler
Floor,6,floor
Hardwood,1,hardwood
Flooring,3,flooring
Play,8,play
Photograph,6,photograph
Ball,1,ball
Crawling,1,crawling
People,1,people
Couch,1,couch
Black,2,black
Shoulder,1,shoulder
Piano,1,piano
Keyboard,1,keyboard
Musical keyboard,1,musical_keyboard
Musical instrument,1,musical_instrument
Pianist,1,pianist
Electronic instrument,1,electronic_instrument
Medley swimming,3,medley_swimming
Swimming,13,swimming
Swimming pool,12,swimming_pool
Leisure,3,leisure
Barechested,1,barechested
Fun,1,fun
Recreation,1,recreation
Breaststroke,1,breaststroke
Swimmer,1,swimmer
Lawn,1,lawn
Snow,2,snow
Skiing,1,skiing
Geological phenomenon,1,geological_phenomenon
Tree,1,tree
Freezing,1,freezing
Winter,1,winter
White,1,white
Ceiling,1,ceiling
